name,times,balance,allPay,invest,y
18952,16,5388,-8010,15000,0
18955,47,9378,-28948,12000,0
18957,14,5540,-11410,0,0
18959,44,10586,-36189,50000,0
18960,51,4356,-24349,24000,0
18962,26,6779,-26190,20000,0
18963,45,5228,-21410,25000,0
18969,39,8951,-24449,10000,0
18970,45,5421,-28732,25000,0
18973,44,7960,-30720,20000,0
18975,42,8287,-27500,10000,0
18976,40,6620,-26251,20000,0
18978,26,4709,-13712,13000,0
18980,35,6489,-20181,20000,0
18982,51,6805,-20530,20000,0
18987,106,53200,-31753,0,1
18990,20,1848,-10955,7000,0
18991,44,5089,-18920,5000,0
18992,61,5477,-34020,35000,0
18993,68,3648,-45700,42000,0
18994,19,8491,-19462,20000,0
18996,44,3857,-15838,35000,1
18997,34,8177,-23500,20000,0
18998,57,8086,-53341,50000,0
18999,46,7307,-23081,25000,0
19001,61,19848,-47513,40000,0
19004,64,13776,-42170,20000,0
19006,19,2946,-14190,5000,0
19012,77,4942,-37370,40000,0
19015,59,17639,-16695,0,1
19016,31,5060,-22390,20000,0
19019,33,8947,-13048,12000,1
19025,37,11775,-33423,30000,0
19026,15,4520,-5567,0,1
19027,48,6527,-26399,25000,0
19029,24,3465,-8066,0,1
19030,34,4652,-18022,15000,0
19034,50,2557,-13408,10000,1
19038,33,19594,-23473,30000,0
19040,30,5800,-18105,0,0
19042,53,13187,-23009,30000,0
19047,50,5326,-38545,30000,0
19049,39,7025,-24019,13000,0
19052,90,10707,-28613,20000,1
19054,64,5240,-35962,30000,0
19055,30,12500,-14398,20000,0
19056,72,5140,-29183,30000,0
19058,54,8319,-35175,30000,0
19059,27,5688,-13019,10000,0
19060,60,4654,-28018,15000,0
19061,29,4174,-16137,10000,0
19062,29,12651,-25908,0,0
19063,59,14420,-34714,20000,0
19066,4,7386,-3440,0,0
19067,17,4166,-11230,10000,0
19070,2,1086,-730,0,0
19072,11,3912,-8390,0,0
19074,30,3008,-16651,10000,0
19075,54,3090,-28636,27000,0
19076,44,3998,-17798,17000,0
19081,39,9413,-15463,18000,1
19083,68,12358,-28570,30000,0
19085,17,6868,-11511,20000,0
19087,75,12507,-40726,30000,0
19093,36,4273,-21133,15000,0
19154,29,6112,-13750,20000,0
19172,65,4831,-29424,20000,0
19185,20,4221,-20600,20000,0
19229,13,5712,-7154,10000,0
19248,11,4845,-9910,0,0
19251,3,150,-170,0,0
19272,40,4604,-27128,26000,0
19273,7,936,-2940,3000,0
19282,39,9136,-17697,0,0
19296,74,5558,-36228,35000,0
19297,48,5552,-23256,25000,0
19310,12,2176,-6232,6000,0
19313,104,30232,-39897,0,1
19319,42,7554,-33690,20000,0
19320,56,46320,-26158,50000,0
19328,6,4119,-3220,0,0
19336,89,4484,-28759,30000,1
19338,23,3403,-11016,15000,0
19339,51,8922,-33353,30000,0
19351,51,4321,-19916,12000,1
19352,33,9828,-19916,0,0
19353,66,10035,-34987,30000,0
19354,70,3415,-30227,50000,0
19355,20,4403,-9155,15000,0
19356,74,8962,-40559,35000,0
19357,75,16840,-45692,40000,0
19361,91,13927,-43635,40000,0
19362,45,8102,-23329,10000,0
19363,45,4033,-24403,23000,0
19364,45,5862,-23008,10000,0
19365,33,8569,-18947,30000,0
19366,69,5011,-30690,29000,0
19367,44,5091,-22346,30000,0
19368,66,6659,-36273,25000,0
19370,35,10464,-12853,11000,1
19372,56,10774,-31399,20000,0
19373,12,4579,-9050,0,0
19374,16,4634,-11840,0,0
19375,58,10327,-31118,20000,0
19376,27,5029,-15636,10000,0
19377,30,11446,-19730,20000,0
19378,12,7131,-3228,10000,1
19380,34,7014,-24612,20000,0
19381,15,36222,-13232,0,0
19382,38,5062,-35920,27000,0
19384,27,4179,-16352,10000,0
19386,68,9577,-37060,35000,0
19387,39,8810,-27165,10000,0
19391,53,5115,-32197,30000,0
19392,35,7230,-19383,10000,0
19393,5,455,-1878,0,0
19394,39,8571,-29000,20000,0
19398,51,4332,-26156,18000,0
19399,53,7960,-33481,30000,0
19401,45,6138,-29442,20000,0
19403,5,515,-490,0,0
19404,31,6378,-13908,0,0
19411,14,7670,-10480,0,0
19413,12,1858,-4481,5000,1
19414,32,5125,-25600,20000,0
19415,15,2578,-7740,5000,0
19416,26,5647,-16831,10000,0
19417,33,4712,-10080,10000,1
19418,77,21671,-67020,0,0
19419,25,4540,-16897,10000,0
19421,107,10352,-49313,40000,0
19424,27,6560,-14530,0,0
19425,3,237,-760,0,0
19426,34,10037,-21930,20000,0
19427,28,4583,-18942,10000,0
19428,57,3810,-32531,60000,0
19433,56,9122,-26497,30000,0
19434,64,22278,-28193,0,0
19435,38,5865,-20149,20000,0
19436,46,17030,-28873,30000,0
19438,20,11396,-16180,20000,0
19441,58,5028,-24847,20000,0
19449,11,5917,-9704,0,0
19459,20,5628,-12148,15000,0
19464,62,14223,-29917,0,0
19465,25,6784,-16970,20000,0
19467,47,28185,-39660,10000,0
19469,65,3942,-36160,30000,0
19470,24,18369,-14740,30000,0
19471,67,13852,-30609,30000,0
19472,27,4542,-15344,10000,0
19473,16,8753,-9875,0,0
19476,41,4996,-20755,17000,0
19477,29,6674,-14305,10000,0
19478,23,4040,-13700,10000,0
19480,19,4016,-12772,10000,0
19483,34,9446,-24679,20000,0
19484,51,21027,-32823,0,0
19486,38,4048,-25564,16000,0
19488,15,5008,-12140,0,0
19489,47,4027,-26481,25000,0
19492,39,4104,-19270,10000,0
19493,28,5398,-17388,20000,0
19495,46,8241,-24387,10000,0
19496,3,13119,-780,20000,0
19500,42,10936,-26575,20000,0
19502,40,8356,-23179,20000,0
19504,56,11974,-47212,50000,0
